movieId,poster_path
1,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg
3,/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,/8MprEuTY3EwkF9nBBPCUyjRjvs5.jpg
5,/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
6,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg
7,/i8PbLJDPU7vCwwscWD625oHbJy.jpg
8,/bMY31ikEOIPOHqQwhPhII8UVBln.jpg
9,/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg
10,/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
11,/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
12,/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg
13,/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg
14,/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg
15,/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg
16,/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg
17,/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
18,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg
19,/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg
20,/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg
21,/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg
22,/oMgwJb016znNZcpDR20eXxZoW8A.jpg
23,/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg
24,/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg
25,/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg
26,/kyevuYzW36wKadiE8lftLac5VwQ.jpg
27,/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg
28,/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg
29,/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg
30,/tzG1UxUSfPACREjgBrsPDRUvneH.jpg
31,/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg
32,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
34,/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg
35,/8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg
36,/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg
38,/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg
39,/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg
40,/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg
41,/cBg1AMH1ucPsDlNMfcHlrreQXQX.jpg
42,/eGfsSXizR11tTHVo0kuOOFPAxZt.jpg
43,/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg
44,/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg
45,/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg
46,/pI9UAemlWgdrnjRgYJsbTk8BSJc.jpg
47,/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg
48,/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg
50,/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg
52,/ice135yQZp4iX2SgCmd90nKgS5j.jpg
54,/nVHqIuBTcTLmAIrML7T704UwfNI.jpg
55,/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg
57,/3zqlKdOttWyExzopVxglz50Vjxq.jpg
58,/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg
60,/ozQAmW85tTJu2dhRe3evzyY03Nb.jpg
61,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg
62,/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg
63,/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg
64,/xSfqAMYqrTtDeAjPtYo0S8nc5Zz.jpg
65,/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg
66,/aP8eGsCyZVCHgSMxhDa4KiC7H9B.jpg
68,/xlLnHizshGBwMiNrnop2kg2nYzE.jpg
69,/2lReF53F8trkC68piGSfk0JVwWU.jpg
70,/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg
71,/qcxsWOzBaF7MZNNThtRQWQ9Wrdk.jpg
72,/ynAtSpTou7snNOq32djzILw9VCA.jpg
73,/toQ6BJCiKVSnklpsma2GnJ6KKah.jpg
74,/zCXvHCEm8334d0d646ldDkXnKws.jpg
75,/dws3JR4Yi325Tz33XnuXEB6XjGr.jpg
76,/eqgBf791rMZG7ywHfObpXeMpiRf.jpg
78,/1WOfl9LN4gqpjwWZjGSHW8fCgSZ.jpg
79,/31mRYhJvaknQx8PQnR2UV7YCkLT.jpg
80,/u6jrlgZZx3zSFPDPTVOYpueljgH.jpg
81,/3LxYzYybOVpnw0juCSlNL5cj8NK.jpg
82,/nUCVi6bBIL7LGC61nYaCqikAhIA.jpg
83,/2qeQStLy1wiqDFa1Dnm02f5UacO.jpg
85,/w1i5JdddoLuzSmnKo5ORDoKdMm2.jpg
86,/5xF4qy44Lvv68glS7eHWH7laTqt.jpg
