movieId,title,title_clean,genres,year,avg_rating,num_ratings,top_tags,bayesian_score,imdbId,tmdbId,imdb_url
1,Toy Story (1995),Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995.0,3.885623953877627,10754,"Pixar, animation, Disney, funny, witty",3.878294979685173,114709,862.0,https://www.imdb.com/title/tt0114709/
2,Jumanji (1995),Jumanji,Adventure|Children|Fantasy,1995.0,3.2791072250345144,4346,"Robin Williams, fantasy, time travel, board game, animals",3.2807703092670417,113497,8844.0,https://www.imdb.com/title/tt0113497/
3,Grumpier Old Men (1995),Grumpier Old Men,Comedy|Romance,1995.0,3.134511536573392,2037,"comedinha de velhinhos engraÃƒÂ§ada, comedinha de velhinhos engraÃ§ada, grun running, midwest, Minnesota",3.1474822047725897,113228,15602.0,https://www.imdb.com/title/tt0113228/
4,Waiting to Exhale (1995),Waiting to Exhale,Comedy|Drama|Romance,1995.0,2.87160751565762,479,"characters, slurs",2.977782806756048,114885,31357.0,https://www.imdb.com/title/tt0114885/
5,Father of the Bride Part II (1995),Father of the Bride Part II,Comedy,1995.0,3.073313039066464,1971,"Fantasy, pregnancy, remake, family, Steve Martin",3.090855171919157,113041,11862.0,https://www.imdb.com/title/tt0113041/
6,Heat (1995),Heat,Action|Crime|Thriller,1995.0,3.8871739130434784,4600,"Al Pacino, Robert De Niro, atmospheric, great acting, realistic action",3.8702906173290503,113277,949.0,https://www.imdb.com/title/tt0113277/
7,Sabrina (1995),Sabrina,Comedy|Romance,1995.0,3.383631096088846,2071,"remake, love story, great cast, romance, as good maybe better than original",3.380207082893462,114319,11860.0,https://www.imdb.com/title/tt0114319/
8,Tom and Huck (1995),Tom and Huck,Adventure|Children,1995.0,3.162844036697248,218,Library System,3.229720134279055,112302,45325.0,https://www.imdb.com/title/tt0112302/
9,Sudden Death (1995),Sudden Death,Action,1995.0,3.01537216828479,618,"Jean-Claude Van Damme, Action, Can't remember, action, jean-claude van damme",3.07501140237404,114576,9091.0,https://www.imdb.com/title/tt0114576/
10,GoldenEye (1995),GoldenEye,Action|Adventure|Thriller,1995.0,3.439503518373729,5116,"James Bond, espionage, 007, Pierce Brosnan, james bond",3.43653207007776,113189,710.0,https://www.imdb.com/title/tt0113189/
11,"American President, The (1995)","American President, The",Comedy|Drama|Romance,1995.0,3.664962508520791,2934,"politics, Aaron Sorkin, Romance, clever dialogue, ethics",3.64933680591586,112346,9087.0,https://www.imdb.com/title/tt0112346/
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,Comedy|Horror,1995.0,2.6502145922746783,699,"Leslie Nielsen, spoof, funny, vampire, vampires",2.7664990374958696,112896,12110.0,https://www.imdb.com/title/tt0112896/
13,Balto (1995),Balto,Adventure|Animation|Children,1995.0,3.320552147239264,326,"James Horner, wolves, dogsled, sort of boring, dogs",3.3237418906574847,112453,21032.0,https://www.imdb.com/title/tt0112453/
14,Nixon (1995),Nixon,Drama,1995.0,3.366412213740458,917,"politics, president, Anthony Hopkins, Tumey's VHS, based on a true story",3.361601026021695,113987,10858.0,https://www.imdb.com/title/tt0113987/
15,Cutthroat Island (1995),Cutthroat Island,Action|Adventure|Romance,1995.0,2.7547169811320757,477,"pirates, treasure, adventure, dumb but funny, Matthew Modine",2.888339273122412,112760,1408.0,https://www.imdb.com/title/tt0112760/
16,Casino (1995),Casino,Crime|Drama,1995.0,3.837853433352568,3466,"Martin Scorsese, organized crime, Mafia, great performances, mafia",3.817633985764271,112641,524.0,https://www.imdb.com/title/tt0112641/
17,Sense and Sensibility (1995),Sense and Sensibility,Drama|Romance,1995.0,3.939709236031927,3508,"Jane Austen, British, Emma Thompson, Alan Rickman, Hugh Grant",3.9157061031240463,114388,4584.0,https://www.imdb.com/title/tt0114388/
